"var_name","num_of_nonmissing","pc_of_nonmissing","num_of_missing","pc_of_missing","mean","std","min","p5","p10","p25","p50","p75","p90","p95","p99","max"
"n_idx_rx",6112,"100.00%",0,"0.00%",4.99,2.78,1,1,2,2,5,7,10,10,11,13
"n_switch_rx_dayssup",1820,"29.78%",4292,"70.22%",1186.01,1175.91,3,64,139.7,323.75,787,1634.25,2887.5,3699,5005.62,7132
"n_precont_dayssup",4292,"70.22%",1820,"29.78%",1083.48,1137.73,90,110.55,146.1,278,644,1486.75,2745.9,3527.75,4981.09,10059
"n_familial_MS",6112,"100.00%",0,"0.00%",0.06,0.23,0,0,0,0,0,0,0,1,1,1
"n_num_children",4423,"72.37%",1689,"27.63%",1.03,1.05,0,0,0,0,1,2,2,3,4,7
"n_init_vision",2103,"34.41%",4009,"65.59%",0.76,0.43,0,0,0,1,1,1,1,1,1,1
"n_init_brainstem",650,"10.63%",5462,"89.37%",0.11,0.31,0,0,0,0,0,0,1,1,1,1
"n_init_movement",1218,"19.93%",4894,"80.07%",0.56,0.5,0,0,0,0,1,1,1,1,1,1
"n_init_cerebell",856,"14.01%",5256,"85.99%",0.29,0.45,0,0,0,0,0,1,1,1,1,1
"n_init_paresth",2966,"48.53%",3146,"51.47%",0.93,0.26,0,0,1,1,1,1,1,1,1,1
"n_init_bladder",648,"10.60%",5464,"89.40%",0.02,0.12,0,0,0,0,0,0,0,0,1,1
"n_init_intest",642,"10.50%",5470,"89.50%",0,0,0,0,0,0,0,0,0,0,0,0
"n_init_sexual",641,"10.49%",5471,"89.51%",0,0,0,0,0,0,0,0,0,0,0,0
"n_init_depeupconc",643,"10.52%",5469,"89.48%",0.04,0.2,0,0,0,0,0,0,0,0,1,1
"n_age",6112,"100.00%",0,"0.00%",40.15,10.45,10,23.55,26,32,41,48,53,57,65,81
"n_tblcoh",6112,"100.00%",0,"0.00%",1.64,1.08,1,1,1,1,1,2,4,4,4,4
"n_baseline_edss_score",6112,"100.00%",0,"0.00%",1.91,1.55,0,0,0,1,2,3,4,5,6.5,8.5
"n_pre0_edss_fs1",5251,"85.91%",861,"14.09%",0.88,1.1,0,0,0,0,0,2,3,3,4,6
"n_pre0_edss_fs2",5240,"85.73%",872,"14.27%",0.55,0.91,0,0,0,0,0,1,2,3,3,5
"n_pre0_edss_fs3",5243,"85.78%",869,"14.22%",0.26,0.58,0,0,0,0,0,0,1,2,2,4
"n_pre0_edss_fs4",5244,"85.80%",868,"14.20%",0.81,0.94,0,0,0,0,1,1,2,3,3,5
"n_pre0_edss_fs5",5246,"85.83%",866,"14.17%",0.31,0.65,0,0,0,0,0,0,1,2,3,5
"n_pre0_edss_fs6",5244,"85.80%",868,"14.20%",0.32,0.69,0,0,0,0,0,0,1,2,3,5
"n_pre0_edss_fs7",5243,"85.78%",869,"14.22%",0.54,0.83,0,0,0,0,0,1,2,2,3,4
"n_pre0_edss_fs8",5275,"86.31%",837,"13.69%",0.29,1.04,0,0,0,0,0,0,1,2,6,10
"n_edssprog",6112,"100.00%",0,"0.00%",0.11,0.31,0,0,0,0,0,0,1,1,1,1
"n_edssconf3",6112,"100.00%",0,"0.00%",0.05,0.22,0,0,0,0,0,0,0,1,1,1
"n_has2edss_conf3",6112,"100.00%",0,"0.00%",0.65,0.48,0,0,0,0,1,1,1,1,1,1
"n_relapse_pre0_psev1",6112,"100.00%",0,"0.00%",0.03,0.18,0,0,0,0,0,0,0,0,1,3
"n_relapse_pre0_psev2",6112,"100.00%",0,"0.00%",0.04,0.24,0,0,0,0,0,0,0,0,1,4
"n_relapse_pre0_psev3",6112,"100.00%",0,"0.00%",0.01,0.08,0,0,0,0,0,0,0,0,0,2
"n_relapse_pre0_ssev1",6112,"100.00%",0,"0.00%",0.02,0.16,0,0,0,0,0,0,0,0,1,2
"n_relapse_pre0_ssev2",6112,"100.00%",0,"0.00%",0.04,0.25,0,0,0,0,0,0,0,0,1,4
"n_relapse_pre0_ssev3",6112,"100.00%",0,"0.00%",0.01,0.09,0,0,0,0,0,0,0,0,0,2
"n_relapse_pre0_trty",6112,"100.00%",0,"0.00%",0.37,0.71,0,0,0,0,0,1,1,2,3,6
"n_relapse_pre0_trtn",6112,"100.00%",0,"0.00%",0.01,0.11,0,0,0,0,0,0,0,0,0,2
"n_relapse_pre1_psev1",6112,"100.00%",0,"0.00%",0.01,0.11,0,0,0,0,0,0,0,0,0,2
"n_relapse_pre1_psev2",6112,"100.00%",0,"0.00%",0.02,0.16,0,0,0,0,0,0,0,0,1,4
"n_relapse_pre1_psev3",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_relapse_pre1_ssev1",6112,"100.00%",0,"0.00%",0.01,0.11,0,0,0,0,0,0,0,0,0,2
"n_relapse_pre1_ssev2",6112,"100.00%",0,"0.00%",0.02,0.16,0,0,0,0,0,0,0,0,1,3
"n_relapse_pre1_ssev3",6112,"100.00%",0,"0.00%",0,0.05,0,0,0,0,0,0,0,0,0,1
"n_relapse_pre1_trty",6112,"100.00%",0,"0.00%",0.23,0.54,0,0,0,0,0,0,1,1,2,5
"n_relapse_pre1_trtn",6112,"100.00%",0,"0.00%",0.01,0.09,0,0,0,0,0,0,0,0,0,2
"n_relapse_pre2_psev1",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,2
"n_relapse_pre2_psev2",6112,"100.00%",0,"0.00%",0.01,0.13,0,0,0,0,0,0,0,0,0,4
"n_relapse_pre2_psev3",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_relapse_pre2_ssev1",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,2
"n_relapse_pre2_ssev2",6112,"100.00%",0,"0.00%",0.01,0.13,0,0,0,0,0,0,0,0,0,4
"n_relapse_pre2_ssev3",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_relapse_pre2_trty",6112,"100.00%",0,"0.00%",0.13,0.43,0,0,0,0,0,0,1,1,2,5
"n_relapse_pre2_trtn",6112,"100.00%",0,"0.00%",0,0.05,0,0,0,0,0,0,0,0,0,1
"n_relapse_pre3_psev1",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_relapse_pre3_psev2",6112,"100.00%",0,"0.00%",0,0.07,0,0,0,0,0,0,0,0,0,2
"n_relapse_pre3_psev3",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_relapse_pre3_ssev1",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_relapse_pre3_ssev2",6112,"100.00%",0,"0.00%",0,0.08,0,0,0,0,0,0,0,0,0,2
"n_relapse_pre3_ssev3",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_relapse_pre3_trty",6112,"100.00%",0,"0.00%",0.08,0.32,0,0,0,0,0,0,0,1,2,5
"n_relapse_pre3_trtn",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_relapse_pre_90_01",6112,"100.00%",0,"0.00%",0.11,0.32,0,0,0,0,0,0,1,1,1,1
"n_relapse_pre_91to180_01",6112,"100.00%",0,"0.00%",0.1,0.3,0,0,0,0,0,0,1,1,1,1
"n_relapse_pre_181to360_01",6112,"100.00%",0,"0.00%",0.18,0.39,0,0,0,0,0,0,1,1,1,1
"n_relapse_pre_1to2_01",6112,"100.00%",0,"0.00%",0.24,0.43,0,0,0,0,0,0,1,1,1,1
"n_relapse_pre_2to3_01",6112,"100.00%",0,"0.00%",0.15,0.35,0,0,0,0,0,0,1,1,1,1
"n_relapse_pre_3to4_01",6112,"100.00%",0,"0.00%",0.09,0.29,0,0,0,0,0,0,0,1,1,1
"n_relapse_fu_any_01",6112,"100.00%",0,"0.00%",0.21,0.41,0,0,0,0,0,0,1,1,1,1
"n_years_diag_idx",6089,"99.62%",23,"0.38%",6.93,6.25,0,1,1,2,5,10,16,19,26,43
"n_rx_fing_1",6112,"100.00%",0,"0.00%",0.01,0.08,0,0,0,0,0,0,0,0,0,1
"n_rx_fing_2",6112,"100.00%",0,"0.00%",0.01,0.09,0,0,0,0,0,0,0,0,0,1
"n_rx_fing_3",6112,"100.00%",0,"0.00%",0.01,0.08,0,0,0,0,0,0,0,0,0,1
"n_rx_fing_4",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
